SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,TRIP_COMPASS_DIR_CD,INBD_OUTBD_CD,AM Trip Count,PM Trip Count,All Trips,Peak or All Day
1,L,S,I,4,4,67,All Day
1,L,N,O,4,4,67,All Day
2,L,N,I,5,6,78,All Day
2,L,S,O,5,6,77,All Day
3,L,N,I,5,4,88,All Day
3,L,S,O,6,4,85,All Day
4,L,N,I,3,3,49,All Day
4,L,S,O,3,5,51,All Day
5,L,S,I,4,4,68,All Day
5,L,N,O,4,4,68,All Day
7,L,N,I,7,9,139,All Day
7,L,S,O,8,6,139,All Day
8,L,E,I,5,4,73,All Day
8,L,W,O,5,5,72,All Day
9,E,N,I,3,,6,Peak
9,E,S,O,,2,5,Peak
10,L,S,I,5,4,71,All Day
10,L,N,O,5,5,74,All Day
11,L,S,I,4,4,60,All Day
11,L,N,O,4,4,60,All Day
12,L,S,I,5,6,71,All Day
12,L,N,O,5,5,75,All Day
13,L,S,I,4,4,46,All Day
13,L,N,O,5,4,47,All Day
14,L,N,I,4,4,68,All Day
14,L,S,O,4,4,67,All Day
15,E,S,I,3,,6,Peak
15,E,N,O,,2,6,Peak
16,E,S,I,4,,6,Peak
16,E,N,O,,4,7,Peak
17,E,S,I,2,,5,Peak
17,E,N,O,,2,5,Peak
18,E,S,I,2,,4,Peak
18,E,N,O,,2,4,Peak
20,L,S,I,4,4,64,All Day
20,L,N,O,4,4,62,All Day
21,E,N,I,2,,7,Peak
21,E,S,O,,3,8,Peak
21,L,N,I,4,3,68,All Day
21,L,S,O,3,4,68,All Day
22,L,N,I,1,1,15,Peak
22,L,S,O,1,1,14,Peak
24,L,S,I,4,2,36,All Day
24,L,N,O,2,4,36,All Day
27,L,N,I,2,3,31,All Day
27,L,S,O,2,2,33,All Day
28,E,S,I,6,2,50,All Day
28,E,N,O,2,5,42,All Day
29,L,S,I,2,,6,Peak
29,L,N,O,,2,6,Peak
31,L,E,I,2,4,38,All Day
31,L,W,O,2,4,39,All Day
32,L,E,I,2,4,45,All Day
32,L,W,O,2,4,45,All Day
33,L,S,I,3,2,32,All Day
33,L,N,O,2,2,31,All Day
36,L,N,I,7,8,130,All Day
36,L,S,O,7,11,130,All Day
40,L,S,I,8,5,93,All Day
40,L,N,O,6,8,96,All Day
43,L,S,I,1,,19,Peak
43,L,N,O,2,,17,Peak
44,L,S,I,6,6,105,All Day
44,L,N,O,6,6,103,All Day
45,L,E,I,6,6,82,All Day
45,L,W,O,4,6,79,All Day
48,L,S,I,4,4,74,All Day
48,L,N,O,4,4,73,All Day
49,L,S,I,4,4,77,All Day
49,L,N,O,4,4,77,All Day
50,L,W,I,4,4,63,All Day
50,L,E,O,4,4,62,All Day
55,L,N,I,2,,7,Peak
55,L,S,O,,2,7,Peak
56,L,N,I,2,,8,Peak
56,L,S,O,,2,7,Peak
57,L,N,I,2,,3,Peak
57,L,S,O,,2,5,Peak
60,L,N,I,5,5,78,All Day
60,L,S,O,5,5,77,All Day
62,L,S,I,8,4,80,All Day
62,L,N,O,4,6,77,All Day
64,E,S,I,2,,6,Peak
64,E,N,O,,2,6,Peak
65,L,S,I,4,4,76,All Day
65,L,N,O,4,4,78,All Day
67,L,S,I,4,4,78,All Day
67,L,N,O,4,4,76,All Day
70,L,S,I,6,5,94,All Day
70,L,N,O,5,6,94,All Day
73,L,S,I,4,4,45,All Day
73,L,N,O,3,4,41,All Day
75,L,S,I,4,6,79,All Day
75,L,N,O,5,5,82,All Day
79,L,S,I,4,4,48,All Day
79,L,N,O,4,4,48,All Day
101,L,N,I,4,4,59,All Day
101,L,S,O,4,5,64,All Day
102,L,N,I,1,,10,Peak
102,L,S,O,,5,10,Peak
105,L,S,I,4,4,53,All Day
105,L,N,O,4,4,47,All Day
106,L,N,I,5,4,66,All Day
106,L,S,O,4,4,65,All Day
107,L,N,I,4,4,47,All Day
107,L,S,O,2,4,45,All Day
111,L,N,I,2,,8,Peak
111,L,S,O,,3,8,Peak
113,L,N,I,1,,4,Peak
113,L,S,O,,2,4,Peak
114,L,N,I,1,,4,Peak
114,L,S,O,,2,4,Peak
118,L,N,I,1,1,16,Peak
118,L,S,O,1,,14,Peak
119,L,N,I,1,1,7,Peak
119,L,S,O,1,,8,Peak
120,L,N,I,9,6,110,All Day
120,L,S,O,6,9,106,All Day
121,L,N,I,1,1,10,Peak
121,L,S,O,1,2,10,Peak
124,L,N,I,4,4,68,All Day
124,L,S,O,4,4,69,All Day
125,L,N,I,3,3,38,All Day
125,L,S,O,3,3,38,All Day
128,L,S,I,3,3,51,All Day
128,L,N,O,3,3,49,All Day
131,L,N,I,4,3,44,All Day
131,L,S,O,3,2,38,All Day
132,L,N,I,2,3,42,All Day
132,L,S,O,3,2,40,All Day
148,L,N,I,2,2,30,All Day
148,L,S,O,2,2,30,All Day
