geoid,name,pov_quintile,poc_quintile,foreign_born_quintile,lep_quintile,disability_quintile,race_score,pov_score,lep_score,disability_score,foreign_born_score,final_score,acs_year
530330001001,"Block Group 1, Census Tract 1, King County, Washington",1,1,2,1,2,0.4,0.3,0.1,0.2,0.2,1,2019
530330001002,"Block Group 2, Census Tract 1, King County, Washington",5,4,4,5,4,1.6,1.5,0.5,0.4,0.4,4,2019
530330001003,"Block Group 3, Census Tract 1, King County, Washington",4,4,4,4,5,1.6,1.2,0.4,0.5,0.4,4,2019
530330001004,"Block Group 4, Census Tract 1, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330001005,"Block Group 5, Census Tract 1, King County, Washington",4,3,4,5,3,1.2000000000000002,1.2,0.5,0.30000000000000004,0.4,4,2019
530330002001,"Block Group 1, Census Tract 2, King County, Washington",1,3,4,1,4,1.2000000000000002,0.3,0.1,0.4,0.4,2,2019
530330002002,"Block Group 2, Census Tract 2, King County, Washington",4,4,4,4,4,1.6,1.2,0.4,0.4,0.4,4,2019
530330002003,"Block Group 3, Census Tract 2, King County, Washington",5,4,4,3,5,1.6,1.5,0.30000000000000004,0.5,0.4,4,2019
530330002004,"Block Group 4, Census Tract 2, King County, Washington",1,2,3,4,3,0.8,0.3,0.4,0.30000000000000004,0.30000000000000004,2,2019
530330002005,"Block Group 5, Census Tract 2, King County, Washington",4,4,4,4,3,1.6,1.2,0.4,0.30000000000000004,0.4,4,2019
530330002006,"Block Group 6, Census Tract 2, King County, Washington",4,2,2,1,3,0.8,1.2,0.1,0.30000000000000004,0.2,3,2019
530330003001,"Block Group 1, Census Tract 3, King County, Washington",2,2,1,2,2,0.8,0.6,0.2,0.2,0.1,2,2019
530330003002,"Block Group 2, Census Tract 3, King County, Washington",4,4,3,4,5,1.6,1.2,0.4,0.5,0.30000000000000004,4,2019
530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",4,3,2,4,5,1.2000000000000002,1.2,0.4,0.5,0.2,4,2019
530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",5,3,2,5,5,1.2000000000000002,1.5,0.5,0.5,0.2,4,2019
530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",4,3,3,1,3,1.2000000000000002,1.2,0.1,0.30000000000000004,0.30000000000000004,3,2019
530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",3,1,1,1,4,0.4,0.8999999999999999,0.1,0.4,0.1,2,2019
530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",3,1,3,3,3,0.4,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.30000000000000004,2,2019
530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1,1,1,1,3,0.4,0.3,0.1,0.30000000000000004,0.1,1,2019
530330005001,"Block Group 1, Census Tract 5, King County, Washington",1,1,1,1,2,0.4,0.3,0.1,0.2,0.1,1,2019
530330005002,"Block Group 2, Census Tract 5, King County, Washington",1,1,1,2,1,0.4,0.3,0.2,0.1,0.1,1,2019
